,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident
10762,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Rollover,Turnover,Not a Pedestrian,Changing lane to the left
4921,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Moving Backward,Unknown or other,Changing lane to the right
5627,Unknown,Male,Writing & reading,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Unknown,Vehicle with vehicle collision,Moving Backward,Crossing from driver's nearside,Other
10798,Over 51,Male,High school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Overspeed
7920,18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Daylight,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
6414,18-30,Male,Unknown,Employee,5-10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
562,Over 51,Male,Junior high school,Employee,1-2yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overturning
11018,18-30,Male,Junior high school,Owner,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian
10145,18-30,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
7468,Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
10650,18-30,Male,High school,Employee,1-2yr,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left
7622,18-30,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle
7427,18-30,Male,Elementary school,Employee,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
486,18-30,Male,Junior high school,Employee,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
7986,18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,Changing lane to the left
2415,31-50,Male,Elementary school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Unknown,Reversing,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian
682,31-50,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
12315,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,O Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Stopping,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right
8113,Under 18,Male,Elementary school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No distancing
6976,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Earth roads,Daylight,Normal,Collision with pedestrians,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward
8781,Over 51,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown,Not a Pedestrian,Other
10061,Unknown,Female,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
1342,Over 51,Male,Elementary school,Owner,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left
7833,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Other,Asphalt roads,Daylight,Raining and Windy,Collision with roadside objects,Going straight,Not a Pedestrian,Moving Backward
1441,Unknown,Male,Junior high school,Owner,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
8040,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the right
8708,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Unknown,Earth roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
2178,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No priority to pedestrian
7147,Unknown,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Reversing,Not a Pedestrian,Changing lane to the right
4377,Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
7311,31-50,Male,High school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
645,Over 51,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
7096,Under 18,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No priority to pedestrian
9338,18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Other
4144,Unknown,Male,Elementary school,Employee,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Moving Backward,Not a Pedestrian,No distancing
6929,18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Unknown,Unknown,Daylight,Normal,Collision with roadside objects,Reversing,Not a Pedestrian,Driving at high speed
1291,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
10994,Over 51,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left
4931,18-30,Female,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the right
971,31-50,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
5721,31-50,Male,Unknown,Unknown,Unknown,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No distancing
9136,Over 51,Male,Unknown,Unknown,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing
1658,Over 51,Male,Junior high school,Employee,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
11230,31-50,Male,High school,Employee,2-5yr,Undivided Two way,Unknown,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
10400,31-50,Male,Junior high school,Employee,5-10yr,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing
1248,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
2562,18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right
10013,18-30,Male,High school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
4104,Unknown,Male,Elementary school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads with some distress,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
1623,31-50,Male,Junior high school,Owner,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the right
3770,31-50,Male,High school,Employee,Above 10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Overturning
9182,Over 51,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Stopping,Not a Pedestrian,No distancing
2635,31-50,Male,Unknown,Owner,Above 10yr,Double carriageway (median),Unknown,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,Not a Pedestrian,No distancing
6636,Unknown,Female,Junior high school,Employee,No Licence,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle
5503,31-50,Male,Elementary school,Owner,2-5yr,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
7851,Over 51,Male,Junior high school,Owner,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
1385,31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the left
9280,18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
9482,Over 51,Male,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right
8402,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right
5173,Unknown,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing
10655,Over 51,Male,Junior high school,Employee,2-5yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left
4985,Unknown,Male,Junior high school,Employee,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Overturning
5939,31-50,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left
3734,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
2414,18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,Changing lane to the left
9893,Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Snow,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
8505,18-30,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward
2659,Over 51,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Stopping,Not a Pedestrian,No distancing
11964,Unknown,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly
8922,Under 18,Male,Junior high school,Owner,Unknown,Undivided Two way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Moving Backward
8242,Over 51,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No distancing
10366,Over 51,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing
